e 12,32334772411727
t 9,812040413435074
a 8,184190110379026
o 7,939710738535628
h 6,737659213418083
n 6,706358699418928
i 6,676176060919743
s 5,7492336963447706
r 5,460486454702567
d 4,6606465344741626
l 3,566358207553708
w 2,815593021773979
u 2,7811624563749087
m 2,7638353861253764
f 2,3594998177862934
c 2,18075152534112
y 2,0773480415939116
g 1,9980906686460516
p 1,5507168935581306
b 1,536519874708514
v 1,0936176016204724
k 0,6830219304815585
x 0,12140127929672216
j 0,08026346089783289
q 0,06338354084828864
z 0,03677810394900699
1 0,009390154199746465
2 0,006148315249833996
0 0,00447150199987927
3 0,0038007766998973793
6 0,002906476299921525
5 0,0026829011999275616
4 0,00257111364993058
9 0,0024593260999335982
7 0,001788600799951708
8 0,0015650256999577444
